x gnassarJNOriginal_mean gnassarJNOriginal_std gnassarJNOriginal_se gnassarNatNOriginal_mean gnassarNatNOriginal_std gnassarNatNOriginal_se
32 0.0010571851134286 0.004632800939659093 7628658673196207e-20 0.00048204125356508674 0.003818036427765052 6287016664133257e-20
33 0.0009733169007057303 0.0026022277432792315 4284990333484884e-20 0.00042260085855325586 0.0009709564651920791 15988374108792468e-21
34 0.0009268618678581001 0.0022505085508259656 3705827597380878e-20 0.00040250330605731157 0.000686816618829896 1130955036569633e-20
35 0.0008995542045629179 0.0021808479266378356 3591120073398174e-20 0.00038556119070511785 0.0006236898788540543 10270066134235387e-21
36 0.0008980282341754928 0.00252497313346061 41577780796209004e-21 0.0003857515004958129 0.0006643078628107647 10938907165039324e-21
37 0.0008769937830719669 0.0025456083312359844 4191757281950671e-20 0.0003749366343504126 0.0007397629932986409 12181398355856267e-21
38 0.0008357590675136255 0.0022185874146543887 3653264265719255e-20 0.00036878380651502585 0.0006114510838496672 10068534510330652e-21
39 0.000813116865708623 0.0021346033868135804 35149709328645786e-21 0.0003635570050158697 0.0006239454568143729 1027427464016745e-20
40 0.0007874221615041894 0.002057872855614131 33886216595075616e-21 0.00034797428464955374 0.0005415667807854734 8917776034767564e-21
41 0.0007656612431959328 0.002017553364575604 33222290734638046e-21 0.0003487156214698549 0.000707404339554702 11648560602298875e-21
42 0.0007618309179985142 0.002662843610836572 4384804197667153e-20 0.0003419893854915335 0.0007613908635494263 12537536342617161e-21
43 0.0007211711884170892 0.0019275153511640608 3173966870775711e-20 0.00032913388255872186 0.0005004517583412062 8240750458548447e-21
44 0.0006996138123859808 0.0018109260964013188 2981983739807705e-20 0.00033288626989155286 0.0005466629838635885 9001693289833336e-21
45 0.0006805630315337196 0.0017387081592327215 28630651849383694e-21 0.0003234650442508873 0.0005606323299843028 9231721246636739e-21
46 0.0006943332057931427 0.0025190307645988922 41479930048148136e-21 0.0003429770640268235 0.0013744474138689645 22632507464124134e-21
47 0.0006726425742403919 0.0021525270526621108 35444851577820265e-21 0.0003183624722910558 0.0005996560183300515 9874309612587139e-21
48 0.0006640052886811837 0.0019828848174334485 3265141683721007e-20 0.0003153328653780296 0.0006178055337702146 10173170841852683e-21
49 0.0006544850032717398 0.001988049432913247 32736460613506206e-21 0.0003301531682084459 0.0009420676278076472 1551267251327449e-20
50 0.0006345883313991153 0.0018254342835102035 3005873824631572e-20 0.0003136774779442471 0.0005396073953474083 8885511573352285e-21
51 0.0006188209376408683 0.0016290018596813894 26824159568629417e-21 0.00031279334307854134 0.0005391917157104391 8878666733461388e-21
52 0.0006660809344533657 0.00335111477019259 5518154371292023e-20 0.000364119863247525 0.0021623703291302624 3560693710098319e-20
53 0.0006118056704997952 0.0019619629355895254 32306904095421567e-21 0.00031177324113895255 0.0006738265269464812 11095647419287155e-21
